Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,NA_Sales_Million,EU_Sales,EU_Sales_Million,JP_Sales,JP_Sales_Million,Other_Sales,Other_Sales_Million,Global_Sales,Global_Sales_Million
347,Pokemon Snap,N64,1999.0,Simulation,Nintendo,2.23,2.23M,0.68,0.68M,0.66,0.66M,0.06,0.06M,3.63,3.63M
348,FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,0.6,0.60M,2.46,2.46M,0.05,0.05M,0.52,0.52M,3.63,3.63M
349,Pro Evolution Soccer 2008,PS2,2007.0,Sports,Konami Digital Entertainment,0.05,0.05M,0.0,0.00M,0.64,0.64M,2.93,2.93M,3.63,3.63M
350,Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,1.78,1.78M,1.42,1.42M,0.05,0.05M,0.38,0.38M,3.63,3.63M
351,Resident Evil 4,PS2,2005.0,Action,Capcom,2.08,2.08M,0.83,0.83M,0.46,0.46M,0.25,0.25M,3.62,3.62M
352,Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft,1.28,1.28M,1.61,1.61M,0.15,0.15M,0.57,0.57M,3.61,3.61M
353,Star Wars: Battlefront,PS2,2004.0,Shooter,LucasArts,1.93,1.93M,1.22,1.22M,0.03,0.03M,0.44,0.44M,3.61,3.61M
354,Doom II: Hell on Earth,PC,1994.0,Shooter,Virgin Interactive,2.05,2.05M,1.4,1.40M,0.0,0.00M,0.16,0.16M,3.61,3.61M
355,The Simpsons: Road Rage,PS2,2001.0,Racing,Electronic Arts,2.02,2.02M,1.17,1.17M,0.0,0.00M,0.42,0.42M,3.61,3.61M
356,Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,505 Games,1.61,1.61M,1.5,1.50M,0.1,0.10M,0.39,0.39M,3.61,3.61M
357,Luigi's Mansion,GC,2001.0,Action,Nintendo,2.38,2.38M,0.67,0.67M,0.46,0.46M,0.1,0.10M,3.6,3.60M
358,Star Wars: Battlefront II,PS2,2005.0,Shooter,LucasArts,2.18,2.18M,1.02,1.02M,0.03,0.03M,0.37,0.37M,3.59,3.59M
359,WWF SmackDown!,PS,2000.0,Fighting,THQ,2.01,2.01M,1.35,1.35M,0.06,0.06M,0.16,0.16M,3.58,3.58M
360,Croc: Legend of the Gobbos,PS,1997.0,Platform,Fox Interactive,1.57,1.57M,1.79,1.79M,0.0,0.00M,0.2,0.20M,3.56,3.56M
361,Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,Take-Two Interactive,1.56,1.56M,1.4,1.40M,0.07,0.07M,0.5,0.50M,3.54,3.54M
362,The Getaway,PS2,2002.0,Action,Sony Computer Entertainment,1.23,1.23M,1.77,1.77M,0.05,0.05M,0.49,0.49M,3.54,3.54M
363,Tomb Raider III: Adventures of Lara Croft,PS,1997.0,Action,Eidos Interactive,1.66,1.66M,1.58,1.58M,0.12,0.12M,0.18,0.18M,3.54,3.54M
364,James Bond 007: Agent Under Fire,PS2,2001.0,Shooter,Electronic Arts,1.9,1.90M,1.13,1.13M,0.1,0.10M,0.41,0.41M,3.53,3.53M
365,LEGO Star Wars: The Video Game,PS2,2005.0,Action,Eidos Interactive,1.98,1.98M,1.14,1.14M,0.01,0.01M,0.41,0.41M,3.53,3.53M
366,Battlefield 4,X360,2013.0,Shooter,Electronic Arts,2.14,2.14M,1.08,1.08M,0.02,0.02M,0.29,0.29M,3.53,3.53M
367,FIFA Soccer 11,X360,2010.0,Sports,Electronic Arts,0.71,0.71M,2.4,2.40M,0.02,0.02M,0.4,0.40M,3.53,3.53M
368,Rugrats in Paris: The Movie,PS,2000.0,Action,THQ,1.96,1.96M,1.33,1.33M,0.0,0.00M,0.23,0.23M,3.52,3.52M
369,Spyro 2: Ripto's Rage!,PS,1999.0,Platform,Sony Computer Entertainment,2.14,2.14M,1.21,1.21M,0.01,0.01M,0.17,0.17M,3.52,3.52M
370,Left 4 Dead,X360,2008.0,Shooter,Electronic Arts,2.66,2.66M,0.5,0.50M,0.05,0.05M,0.3,0.30M,3.52,3.52M
371,Mario & Sonic at the Olympic Winter Games,DS,2009.0,Sports,Sega,1.22,1.22M,1.66,1.66M,0.27,0.27M,0.38,0.38M,3.52,3.52M
372,Resident Evil 5,X360,2009.0,Action,Capcom,2.11,2.11M,0.94,0.94M,0.12,0.12M,0.34,0.34M,3.51,3.51M
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996.0,Platform,Nintendo,1.17,1.17M,0.5,0.50M,1.75,1.75M,0.08,0.08M,3.51,3.51M
374,Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.84,2.84M,0.39,0.39M,0.03,0.03M,0.24,0.24M,3.5,3.50M
375,Kung Fu,NES,1985.0,Action,Nintendo,1.64,1.64M,0.38,0.38M,1.42,1.42M,0.06,0.06M,3.5,3.50M
376,Batman: Arkham Asylum,X360,2009.0,Action,Eidos Interactive,2.2,2.20M,0.97,0.97M,0.02,0.02M,0.31,0.31M,3.5,3.50M
377,Clubhouse Games,DS,2006.0,Misc,Nintendo,0.59,0.59M,1.83,1.83M,0.73,0.73M,0.35,0.35M,3.5,3.50M
378,FIFA Soccer 2004,PS2,,Sports,Electronic Arts,0.59,0.59M,2.36,2.36M,0.04,0.04M,0.51,0.51M,3.49,3.49M
379,Star Wars Battlefront (2015),XOne,2015.0,Shooter,Electronic Arts,1.94,1.94M,1.22,1.22M,0.02,0.02M,0.31,0.31M,3.49,3.49M
380,Battlefield: Bad Company 2,X360,2010.0,Shooter,Electronic Arts,2.09,2.09M,1.02,1.02M,0.04,0.04M,0.32,0.32M,3.48,3.48M
381,Guitar Hero: On Tour,DS,2008.0,Misc,Activision,2.11,2.11M,1.01,1.01M,0.01,0.01M,0.35,0.35M,3.48,3.48M
382,Assassin's Creed: Unity,XOne,2014.0,Action,Ubisoft,2.26,2.26M,0.89,0.89M,0.0,0.00M,0.3,0.30M,3.46,3.46M
383,Far Cry 3,PS3,2012.0,Shooter,Ubisoft,0.88,0.88M,1.75,1.75M,0.1,0.10M,0.72,0.72M,3.45,3.45M
384,Monster Hunter 4,3DS,2013.0,Role-Playing,Capcom,0.0,0.00M,0.0,0.00M,3.44,3.44M,0.0,0.00M,3.44,3.44M
385,Borderlands,X360,2009.0,Shooter,Take-Two Interactive,2.39,2.39M,0.73,0.73M,0.03,0.03M,0.29,0.29M,3.44,3.44M
386,Tekken 4,PS2,2002.0,Fighting,Namco Bandai Games,1.55,1.55M,1.27,1.27M,0.33,0.33M,0.29,0.29M,3.44,3.44M
387,Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,1.34,1.34M,1.54,1.54M,0.17,0.17M,0.38,0.38M,3.43,3.43M
388,LittleBigPlanet 2,PS3,2011.0,Platform,Sony Computer Entertainment,1.82,1.82M,1.07,1.07M,0.06,0.06M,0.47,0.47M,3.42,3.42M
389,Grand Theft Auto 2,PS,1998.0,Action,Take-Two Interactive,1.13,1.13M,2.07,2.07M,0.0,0.00M,0.22,0.22M,3.42,3.42M
390,Final Fantasy III,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.86M,0.0,0.00M,2.55,2.55M,0.02,0.02M,3.42,3.42M
391,Spider-Man 2,PS2,2004.0,Action,Activision,1.75,1.75M,1.2,1.20M,0.02,0.02M,0.43,0.43M,3.41,3.41M
392,F-1 Race,GB,1990.0,Racing,Nintendo,1.73,1.73M,0.69,0.69M,0.59,0.59M,0.4,0.40M,3.41,3.41M
393,FIFA Soccer 2003,PS2,2002.0,Sports,Electronic Arts,0.46,0.46M,2.28,2.28M,0.05,0.05M,0.61,0.61M,3.4,3.40M
394,Crash Bash,PS,2000.0,Misc,Sony Computer Entertainment,1.56,1.56M,1.47,1.47M,0.19,0.19M,0.17,0.17M,3.39,3.39M
395,LEGO Batman: The Videogame,X360,2008.0,Action,Warner Bros. Interactive Entertainment,2.03,2.03M,1.03,1.03M,0.0,0.00M,0.32,0.32M,3.38,3.38M
396,Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,1.08,1.08M,1.35,1.35M,0.48,0.48M,0.47,0.47M,3.38,3.38M
397,The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,Nintendo,1.43,1.43M,0.94,0.94M,0.74,0.74M,0.27,0.27M,3.38,3.38M
398,WWF War Zone,PS,1998.0,Fighting,Acclaim Entertainment,2.47,2.47M,0.76,0.76M,0.0,0.00M,0.13,0.13M,3.36,3.36M
399,The Legend of Zelda: Majora's Mask,N64,2000.0,Action,Nintendo,1.9,1.90M,0.67,0.67M,0.73,0.73M,0.06,0.06M,3.36,3.36M
400,Professor Layton and the Unwound Future,DS,2008.0,Puzzle,Nintendo,0.65,0.65M,1.61,1.61M,0.82,0.82M,0.28,0.28M,3.36,3.36M
401,Rugrats: Search For Reptar,PS,1998.0,Adventure,THQ,1.63,1.63M,1.53,1.53M,0.0,0.00M,0.18,0.18M,3.34,3.34M
402,Assassin's Creed IV: Black Flag,X360,2013.0,Action,Ubisoft,1.9,1.90M,1.14,1.14M,0.01,0.01M,0.29,0.29M,3.34,3.34M
403,English Training: Have Fun Improving Your Skills!,DS,2006.0,Misc,Nintendo,0.0,0.00M,0.99,0.99M,2.32,2.32M,0.02,0.02M,3.33,3.33M
404,James Bond 007: Nightfire,PS2,2002.0,Shooter,Electronic Arts,1.45,1.45M,1.29,1.29M,0.12,0.12M,0.46,0.46M,3.33,3.33M
405,Ratchet & Clank,PS2,2002.0,Platform,Sony Computer Entertainment,1.44,1.44M,1.01,1.01M,0.57,0.57M,0.3,0.30M,3.33,3.33M
406,Mario Party 9,Wii,2012.0,Misc,Nintendo,1.15,1.15M,1.17,1.17M,0.76,0.76M,0.24,0.24M,3.32,3.32M
407,Star Wars Episode III: Revenge of the Sith,PS2,2005.0,Action,LucasArts,1.47,1.47M,1.39,1.39M,0.03,0.03M,0.43,0.43M,3.32,3.32M
408,Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.99M,1.05,1.05M,0.05,0.05M,0.22,0.22M,3.31,3.31M
409,The Lord of the Rings: The Return of the King,PS2,2003.0,Action,Electronic Arts,1.5,1.50M,1.28,1.28M,0.05,0.05M,0.46,0.46M,3.28,3.28M
410,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.8,0.80M,1.92,1.92M,0.06,0.06M,0.5,0.50M,3.28,3.28M
411,Destiny,XOne,2014.0,Shooter,Activision,2.13,2.13M,0.92,0.92M,0.0,0.00M,0.23,0.23M,3.28,3.28M
412,True Crime: Streets of LA,PS2,2003.0,Action,Activision,1.89,1.89M,1.05,1.05M,0.02,0.02M,0.31,0.31M,3.27,3.27M
413,Wii Music,Wii,2008.0,Misc,Nintendo,1.36,1.36M,1.13,1.13M,0.46,0.46M,0.32,0.32M,3.27,3.27M
414,Gran Turismo (PSP),PSP,2009.0,Racing,Sony Computer Entertainment,0.5,0.50M,1.59,1.59M,0.31,0.31M,0.87,0.87M,3.27,3.27M
415,Monster Hunter X,3DS,2015.0,Action,Capcom,0.25,0.25M,0.19,0.19M,2.78,2.78M,0.04,0.04M,3.26,3.26M
416,Tekken,PS,1995.0,Fighting,Sony Computer Entertainment,0.95,0.95M,1.3,1.30M,0.77,0.77M,0.22,0.22M,3.24,3.24M
417,FIFA 16,XOne,2015.0,Sports,Electronic Arts,0.88,0.88M,2.11,2.11M,0.0,0.00M,0.23,0.23M,3.23,3.23M
418,L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,1.27,1.27M,1.33,1.33M,0.12,0.12M,0.51,0.51M,3.23,3.23M
419,Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,2.33,2.33M,0.3,0.30M,0.0,0.00M,0.59,0.59M,3.22,3.22M
420,Yokai Watch 2 Ganso/Honke,3DS,2014.0,Role-Playing,Nintendo,0.03,0.03M,0.0,0.00M,3.18,3.18M,0.0,0.00M,3.22,3.22M
421,007: Tomorrow Never Dies,PS,1999.0,Shooter,Electronic Arts,1.72,1.72M,1.33,1.33M,0.0,0.00M,0.16,0.16M,3.21,3.21M
422,Baseball,NES,1983.0,Sports,Nintendo,0.73,0.73M,0.1,0.10M,2.35,2.35M,0.02,0.02M,3.2,3.20M
423,Killer Instinct,SNES,1995.0,Fighting,Nintendo,2.26,2.26M,0.72,0.72M,0.12,0.12M,0.1,0.10M,3.2,3.20M
424,WWF SmackDown! 2: Know Your Role,PS,2000.0,Fighting,THQ,1.76,1.76M,1.21,1.21M,0.07,0.07M,0.16,0.16M,3.2,3.20M
425,Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,Square Enix,1.35,1.35M,0.6,0.60M,0.8,0.80M,0.44,0.44M,3.19,3.19M
426,God of War: Chains of Olympus,PSP,2008.0,Action,Sony Computer Entertainment,1.48,1.48M,1.01,1.01M,0.04,0.04M,0.66,0.66M,3.19,3.19M
427,Dragon Quest VI: Maboroshi no Daichi,SNES,1995.0,Role-Playing,Enix Corporation,0.0,0.00M,0.0,0.00M,3.19,3.19M,0.0,0.00M,3.19,3.19M
428,Dance Central,X360,2010.0,Misc,MTV Games,2.15,2.15M,0.77,0.77M,0.01,0.01M,0.26,0.26M,3.19,3.19M
429,Enter the Matrix,PS2,2003.0,Action,Atari,1.78,1.78M,1.12,1.12M,0.09,0.09M,0.19,0.19M,3.18,3.18M
430,Super Mario Maker,WiiU,2015.0,Platform,Nintendo,1.18,1.18M,0.87,0.87M,0.93,0.93M,0.2,0.20M,3.18,3.18M
431,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.52M,1.08,1.08M,0.1,0.10M,0.47,0.47M,3.17,3.17M
432,LEGO Batman: The Videogame,Wii,,Action,Warner Bros. Interactive Entertainment,1.86,1.86M,1.02,1.02M,0.0,0.00M,0.29,0.29M,3.17,3.17M
433,Rhythm Heaven,DS,2008.0,Misc,Nintendo,0.58,0.58M,0.51,0.51M,1.93,1.93M,0.14,0.14M,3.17,3.17M
434,Ace Combat 04: Shattered Skies,PS2,2001.0,Simulation,Sony Computer Entertainment Europe,2.06,2.06M,0.56,0.56M,0.38,0.38M,0.17,0.17M,3.17,3.17M
435,Club Penguin: Elite Penguin Force,DS,2008.0,Adventure,Disney Interactive Studios,1.88,1.88M,0.98,0.98M,0.0,0.00M,0.3,0.30M,3.16,3.16M
436,Animal Crossing,GC,2001.0,Simulation,Nintendo,1.92,1.92M,0.16,0.16M,0.99,0.99M,0.09,0.09M,3.15,3.15M
437,LEGO Batman: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.79,1.79M,1.06,1.06M,0.0,0.00M,0.29,0.29M,3.15,3.15M
438,Sonic Rush,DS,2005.0,Platform,Sega,1.22,1.22M,1.57,1.57M,0.06,0.06M,0.29,0.29M,3.15,3.15M
439,Resident Evil 6,PS3,2012.0,Shooter,Capcom,0.88,0.88M,0.97,0.97M,0.88,0.88M,0.42,0.42M,3.15,3.15M
440,Halo: The Master Chief Collection,XOne,2014.0,Shooter,Microsoft Game Studios,1.89,1.89M,0.99,0.99M,0.03,0.03M,0.24,0.24M,3.15,3.15M
441,FIFA Soccer 08,PS2,2007.0,Sports,Electronic Arts,0.68,0.68M,0.0,0.00M,0.0,0.00M,2.46,2.46M,3.14,3.14M
442,Spider-Man,PS,2000.0,Action,Activision,1.7,1.70M,1.25,1.25M,0.02,0.02M,0.16,0.16M,3.13,3.13M
443,Need for Speed III: Hot Pursuit,PS,1998.0,Racing,Electronic Arts,2.14,2.14M,0.86,0.86M,0.0,0.00M,0.13,0.13M,3.12,3.12M
444,Star Wars Episode I Racer,N64,1999.0,Racing,Nintendo,2.31,2.31M,0.62,0.62M,0.14,0.14M,0.04,0.04M,3.12,3.12M
445,Personal Trainer: Cooking,DS,2006.0,Misc,Nintendo,0.91,0.91M,1.0,1.00M,1.03,1.03M,0.17,0.17M,3.12,3.12M
446,The Elder Scrolls IV: Oblivion,PS3,2007.0,Role-Playing,Ubisoft,1.69,1.69M,0.87,0.87M,0.14,0.14M,0.42,0.42M,3.12,3.12M
447,Dragon Warrior IV,NES,1990.0,Role-Playing,Enix Corporation,0.08,0.08M,0.0,0.00M,3.03,3.03M,0.01,0.01M,3.12,3.12M
448,Heavy Rain,PS3,2010.0,Adventure,Sony Computer Entertainment,1.29,1.29M,1.27,1.27M,0.06,0.06M,0.5,0.50M,3.12,3.12M
449,Mass Effect 2,X360,2010.0,Role-Playing,Electronic Arts,1.99,1.99M,0.82,0.82M,0.03,0.03M,0.27,0.27M,3.11,3.11M
450,FIFA 15,X360,2014.0,Sports,Electronic Arts,0.78,0.78M,2.02,2.02M,0.0,0.00M,0.3,0.30M,3.11,3.11M
451,Dragon Ball Z: Budokai,PS2,2002.0,Fighting,Atari,2.17,2.17M,0.28,0.28M,0.55,0.55M,0.08,0.08M,3.09,3.09M
452,Madden NFL 2002,PS2,2001.0,Sports,Electronic Arts,2.5,2.50M,0.16,0.16M,0.01,0.01M,0.42,0.42M,3.08,3.08M
453,World Class Track Meet,NES,1986.0,Sports,Namco Bandai Games,1.92,1.92M,0.45,0.45M,0.64,0.64M,0.07,0.07M,3.08,3.08M
454,Borderlands 2,X360,2012.0,Shooter,Take-Two Interactive,1.89,1.89M,0.91,0.91M,0.04,0.04M,0.24,0.24M,3.07,3.07M
455,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,1.4,1.40M,0.99,0.99M,0.46,0.46M,0.22,0.22M,3.07,3.07M
456,Donkey Kong,GB,1994.0,Platform,Nintendo,1.57,1.57M,0.62,0.62M,0.55,0.55M,0.34,0.34M,3.07,3.07M
457,The Sims: Vacation,PC,2002.0,Simulation,Electronic Arts,1.72,1.72M,1.21,1.21M,0.0,0.00M,0.14,0.14M,3.07,3.07M
458,Mass Effect 3,X360,2012.0,Role-Playing,Electronic Arts,1.94,1.94M,0.86,0.86M,0.03,0.03M,0.24,0.24M,3.07,3.07M
459,Kung Fu Panda,X360,2008.0,Action,Activision,1.91,1.91M,0.84,0.84M,0.0,0.00M,0.29,0.29M,3.05,3.05M
460,Far Cry 3,X360,2012.0,Shooter,Ubisoft,1.38,1.38M,1.35,1.35M,0.02,0.02M,0.28,0.28M,3.04,3.04M
461,Epic Mickey,Wii,2010.0,Platform,Disney Interactive Studios,2.06,2.06M,0.64,0.64M,0.12,0.12M,0.22,0.22M,3.04,3.04M
462,Saints Row 2,X360,2008.0,Action,THQ,1.94,1.94M,0.8,0.80M,0.02,0.02M,0.27,0.27M,3.03,3.03M
463,Rayman,PS,1995.0,Platform,Ubisoft,1.54,1.54M,1.33,1.33M,0.0,0.00M,0.16,0.16M,3.03,3.03M
464,Killzone 2,PS3,2009.0,Shooter,Sony Computer Entertainment,1.4,1.40M,1.07,1.07M,0.08,0.08M,0.47,0.47M,3.02,3.02M
465,Tom Clancy's Splinter Cell,XB,2002.0,Action,Ubisoft,1.85,1.85M,1.04,1.04M,0.0,0.00M,0.13,0.13M,3.02,3.02M
466,Mike Tyson's Punch-Out!!,NES,1987.0,Fighting,Nintendo,2.03,2.03M,0.47,0.47M,0.45,0.45M,0.07,0.07M,3.02,3.02M
467,WWE SmackDown! Shut Your Mouth,PS2,2002.0,Sports,THQ,1.45,1.45M,1.13,1.13M,0.07,0.07M,0.38,0.38M,3.02,3.02M
468,Gears of War: Ultimate Edition,XOne,2015.0,Shooter,Microsoft Game Studios,2.38,2.38M,0.32,0.32M,0.0,0.00M,0.31,0.31M,3.0,3.00M
469,NBA 2K13,X360,2012.0,Sports,Take-Two Interactive,2.6,2.60M,0.21,0.21M,0.01,0.01M,0.19,0.19M,3.0,3.00M
470,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007.0,Fighting,Atari,1.15,1.15M,0.0,0.00M,0.76,0.76M,1.09,1.09M,3.0,3.00M
471,wwe Smackdown vs. Raw 2006,PS2,,Fighting,,1.57,1.57M,1.02,1.02M,0.0,0.00M,0.41,0.41M,3.0,3.00M
472,Middle-Earth: Shadow of Mordor,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,1.01,1.01M,1.41,1.41M,0.05,0.05M,0.53,0.53M,2.99,2.99M
473,Star Fox,SNES,1993.0,Shooter,Nintendo,1.61,1.61M,0.51,0.51M,0.8,0.80M,0.07,0.07M,2.99,2.99M
474,The Sims: Livin Large,PC,2000.0,Misc,Electronic Arts,1.67,1.67M,1.18,1.18M,0.0,0.00M,0.13,0.13M,2.99,2.99M
475,World Soccer Winning Eleven 6 International,PS2,2002.0,Sports,Konami Digital Entertainment,0.12,0.12M,1.26,1.26M,1.16,1.16M,0.45,0.45M,2.99,2.99M
476,Devil May Cry,PS2,2001.0,Action,Capcom,1.36,1.36M,0.86,0.86M,0.64,0.64M,0.13,0.13M,2.99,2.99M
477,Animal Crossing: Happy Home Designer,3DS,2015.0,Simulation,Nintendo,0.47,0.47M,1.0,1.00M,1.39,1.39M,0.12,0.12M,2.98,2.98M
478,Battlefield: Bad Company 2,PS3,2010.0,Shooter,Electronic Arts,1.33,1.33M,1.12,1.12M,0.08,0.08M,0.45,0.45M,2.97,2.97M
479,The Sims 4,PC,2014.0,Simulation,Electronic Arts,0.96,0.96M,1.72,1.72M,0.0,0.00M,0.29,0.29M,2.97,2.97M
480,Star Wars: The Old Republic,PC,2011.0,Role-Playing,Electronic Arts,1.58,1.58M,1.01,1.01M,0.0,0.00M,0.38,0.38M,2.97,2.97M
481,Sonic Heroes,PS2,2003.0,Platform,Sega,1.04,1.04M,1.37,1.37M,0.06,0.06M,0.49,0.49M,2.96,2.96M
482,Kirby Super Star Ultra,DS,2008.0,Platform,Nintendo,1.57,1.57M,0.04,0.04M,1.19,1.19M,0.15,0.15M,2.96,2.96M
483,Hitman 2: Silent Assassin,PS2,2002.0,Action,Eidos Interactive,1.36,1.36M,1.15,1.15M,0.04,0.04M,0.41,0.41M,2.96,2.96M
484,Street Fighter IV,X360,2009.0,Fighting,Capcom,1.82,1.82M,0.71,0.71M,0.15,0.15M,0.26,0.26M,2.95,2.95M
485,Wave Race 64,N64,1996.0,Racing,Nintendo,1.98,1.98M,0.58,0.58M,0.34,0.34M,0.04,0.04M,2.94,2.94M
486,SOCOM II: U.S. Navy SEALs,PS2,2003.0,Shooter,Sony Computer Entertainment,2.22,2.22M,0.51,0.51M,0.06,0.06M,0.15,0.15M,2.94,2.94M
487,WWE SmackDown! vs. RAW 2006,PS2,2005.0,Fighting,THQ,1.45,1.45M,1.11,1.11M,0.04,0.04M,0.33,0.33M,2.94,2.94M
488,inFAMOUS,PS3,2009.0,Action,Sony Computer Entertainment,1.76,1.76M,0.69,0.69M,0.12,0.12M,0.37,0.37M,2.94,2.94M
489,Pac-Man Collection,GBA,2001.0,Puzzle,Atari,2.07,2.07M,0.77,0.77M,0.05,0.05M,0.05,0.05M,2.94,2.94M
490,Mass Effect,X360,2007.0,Role-Playing,Microsoft Game Studios,1.83,1.83M,0.8,0.80M,0.03,0.03M,0.27,0.27M,2.93,2.93M
491,WarioWare: Smooth Moves,Wii,2006.0,Puzzle,Nintendo,0.87,0.87M,1.06,1.06M,0.73,0.73M,0.26,0.26M,2.92,2.92M
492,Cooking Mama: Cook Off,Wii,2007.0,Simulation,505 Games,1.43,1.43M,1.13,1.13M,0.05,0.05M,0.3,0.30M,2.91,2.91M
493,Super Mario World 2: Yoshi's Island,GBA,2002.0,Platform,Nintendo,1.75,1.75M,0.45,0.45M,0.62,0.62M,0.09,0.09M,2.91,2.91M
494,FIFA 14,PS4,2013.0,Sports,Electronic Arts,0.61,0.61M,1.85,1.85M,0.11,0.11M,0.33,0.33M,2.9,2.90M
495,Titanfall,XOne,2014.0,Shooter,Electronic Arts,1.84,1.84M,0.8,0.80M,0.04,0.04M,0.22,0.22M,2.9,2.90M
496,Sonic Mega Collection Plus,PS2,2004.0,Misc,Sega,1.54,1.54M,1.14,1.14M,0.0,0.00M,0.22,0.22M,2.9,2.90M
497,Sega Superstars Tennis,X360,2008.0,Sports,Sega,1.75,1.75M,0.86,0.86M,0.0,0.00M,0.28,0.28M,2.9,2.90M
498,World Soccer Winning Eleven 7 International,PS2,2003.0,Sports,Konami Digital Entertainment,0.08,0.08M,1.24,1.24M,1.13,1.13M,0.45,0.45M,2.9,2.90M
499,Need for Speed: Most Wanted,PS3,2012.0,Racing,Electronic Arts,0.71,0.71M,1.51,1.51M,0.06,0.06M,0.61,0.61M,2.89,2.89M
500,Hot Shots Golf 3,PS2,2001.0,Sports,Sony Computer Entertainment,0.99,0.99M,0.32,0.32M,1.38,1.38M,0.2,0.20M,2.89,2.89M
501,Call of Duty: Finest Hour,PS2,2004.0,Shooter,Activision,1.51,1.51M,1.12,1.12M,0.01,0.01M,0.24,0.24M,2.89,2.89M
502,Zumba Fitness 2,Wii,2011.0,Sports,Majesco Entertainment,1.54,1.54M,1.07,1.07M,0.0,0.00M,0.28,0.28M,2.88,2.88M
503,Syphon Filter,PS,1999.0,Shooter,Sony Computer Entertainment,2.03,2.03M,0.72,0.72M,0.02,0.02M,0.11,0.11M,2.88,2.88M
504,Imagine: Babyz,DS,2007.0,Simulation,Ubisoft,1.3,1.30M,1.27,1.27M,0.0,0.00M,0.31,0.31M,2.88,2.88M
505,Colin McRae Rally,PS,1998.0,Racing,Codemasters,0.09,0.09M,2.43,2.43M,0.12,0.12M,0.22,0.22M,2.87,2.87M
506,Call of Duty: Ghosts,XOne,2013.0,Shooter,Activision,1.87,1.87M,0.77,0.77M,0.0,0.00M,0.22,0.22M,2.86,2.86M
507,Madden NFL 13,X360,2012.0,Sports,Electronic Arts,2.53,2.53M,0.16,0.16M,0.0,0.00M,0.17,0.17M,2.86,2.86M
508,The Elder Scrolls III: Morrowind,XB,2002.0,Role-Playing,Ubisoft,2.09,2.09M,0.63,0.63M,0.03,0.03M,0.11,0.11M,2.86,2.86M
509,Mortal Kombat,PS3,2011.0,Fighting,Warner Bros. Interactive Entertainment,1.98,1.98M,0.55,0.55M,0.0,0.00M,0.32,0.32M,2.85,2.85M
510,F-Zero,SNES,1990.0,Racing,Nintendo,1.37,1.37M,0.51,0.51M,0.89,0.89M,0.07,0.07M,2.85,2.85M
511,Yoshi's Story,N64,1997.0,Platform,Nintendo,1.29,1.29M,0.53,0.53M,0.98,0.98M,0.05,0.05M,2.85,2.85M
512,Command & Conquer: Red Alert,PC,1996.0,Strategy,Virgin Interactive,1.37,1.37M,1.34,1.34M,0.0,0.00M,0.14,0.14M,2.85,2.85M
513,Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision,1.4,1.40M,1.14,1.14M,0.0,0.00M,0.31,0.31M,2.85,2.85M
514,FIFA 16,PS3,2015.0,Sports,Electronic Arts,0.4,0.40M,1.98,1.98M,0.05,0.05M,0.42,0.42M,2.85,2.85M
515,Assassin's Creed: Brotherhood,PS3,2010.0,Action,Ubisoft,1.87,1.87M,0.57,0.57M,0.11,0.11M,0.3,0.30M,2.84,2.84M
516,BioShock,X360,2007.0,Shooter,Take-Two Interactive,1.65,1.65M,0.86,0.86M,0.05,0.05M,0.28,0.28M,2.83,2.83M
517,Madden NFL 10,X360,2009.0,Sports,Electronic Arts,2.52,2.52M,0.09,0.09M,0.0,0.00M,0.22,0.22M,2.83,2.83M
518,Medal of Honor,PS3,2010.0,Shooter,Electronic Arts,1.28,1.28M,1.05,1.05M,0.07,0.07M,0.43,0.43M,2.83,2.83M
519,WWE SmackDown! vs. Raw,PS2,2002.0,Fighting,THQ,1.32,1.32M,1.08,1.08M,0.04,0.04M,0.39,0.39M,2.83,2.83M
520,Metroid Prime,GC,2002.0,Shooter,Nintendo,1.96,1.96M,0.67,0.67M,0.1,0.10M,0.09,0.09M,2.82,2.82M
